,date,code,kind_of_trade,turnover
304,4/1/2009,WZ08-4729,Other retail sale of food,82.5
305,4/1/2009,WZ08-4776,"Retail sale of flowers	plants	seeds	fertil.	anim.",152.2
306,4/1/2009,WZ08-4719-01,Retail sale of non-food (incl. markets of food),90.2
307,4/1/2009,WZ08-47592,Retail sale of china and glassware,83.1
308,4/1/2009,WZ08-4779,Retail sale of second-hand goods in stores,164.9
309,4/1/2009,WZ08-4775,Retail sale of cosmetic and toilet articles,87.3
310,4/1/2009,WZ08-4763,Retail sale of music and video recordings,95.9
311,4/1/2009,WZ08-4753,"Retail sale of carpets	 rugs	 wall a. floor cover.",90.7
312,4/1/2009,WZ08-47112,Other retail sale in non-spec.stores with food etc,106.1
313,4/1/2009,WZ08-4782,"Retail sale v.stalls	markets of text.	cloth.	foot.",111.7
314,4/1/2009,WZ08-471-03,Retail trade in its more narrow definition,91.6
315,4/1/2009,WZ08-479,"Retail trade not in stores	 stalls or markets",61.8
316,4/1/2009,WZ08-4751-02,"Retail sale of textiles	clothing	footwear	leather",101.3
317,4/1/2009,WZ08-47,"Retail trade	 except motor vehicles a. motorcycles",90.6
318,4/1/2009,WZ08-471,Retail sale in non-specialised stores,92.2
319,4/1/2009,WZ08-47523,"Retail sale of paints	varnishes	building material",125.2
320,4/1/2009,WZ08-47302,Retail sale of private-brand automotive fuel,86.6
321,4/1/2009,WZ08-4777,Retail sale of watches and jewellery,81.4
322,4/1/2009,WZ08-47641,"Retail sale of bicycles	 their parts and access.",118.5
323,4/1/2009,WZ08-47192,Retail sale in non-spec.stores with non-food pred.,110.6
324,4/1/2009,WZ08-47621,"Retail sale of newspapers	 journals	 periodicals",88.6
325,4/1/2009,WZ08-4752,"Retail sale of hardware	 paints and glass",122.2
326,4/1/2009,WZ08-4723,"Retail sale of fish	 crustaceans and molluscs",119.8
327,4/1/2009,WZ08-4764,Retail sale of sporting equipment,98.6
328,4/1/2009,WZ08-478,Retail sale via stalls and markets,111.4
329,4/1/2009,WZ08-4799,"Other retail sale not in stores	 stalls or markets",90.7
330,4/1/2009,WZ08-4730,Retail sale of automotive fuel,92.2
331,4/1/2009,WZ08-473,Retail sale of automotive fuel,92.2
332,4/1/2009,WZ08-47991,Retail sale of fuels from stock,92.4
333,4/1/2009,WZ08-47301,Retail sale on behalf of others of automotive fuel,95.3
334,4/1/2009,WZ08-47789,Other retail sale of new goods,148.2
335,4/1/2009,WZ08-4778,Other retail sale of new goods,101.8
336,4/1/2009,WZ08-4754,Retail sale of electrical household appliances,82.1
337,4/1/2009,WZ08-47599,Retail sale of household articles n.e.c.,94.5
338,4/1/2009,WZ08-47919,Other retail sale v. mail order houses or Internet,60.6
339,4/1/2009,WZ08-4711,Retail sale in non-spec. stores with food etc.,91.3
340,4/1/2009,WZ08-47191,Retail sale in non-specialised stores (ex. food),95.8
341,4/1/2009,WZ08-4772,Retail sale of footwear and leather goods,112
342,4/1/2009,WZ08-4726,Retail sale of tobacco products,89.1
343,4/1/2009,WZ08-4719,Other retail sale in non-specialised stores,107.2
344,4/1/2009,WZ08-476,Retail sale of cultural and recreation goods,94.2
345,4/1/2009,WZ08-47761,"Retail sale of flowers	 plants	 seeds	 fertilisers",188.8
346,4/1/2009,WZ08-471-02,Retail trade in the traditional sense,76.5
347,4/1/2009,WZ08-4741-01,Retail sale of books and stationery,100.7
348,4/1/2009,WZ08-45-01,Motor trade and retail trade,76.5
349,4/1/2009,WZ08-47593,Retail sale of musical instruments and scores,79.7
350,4/1/2009,WZ08-4762,Retail sale of newspapers and stationery,92.2
351,4/1/2009,WZ08-4742,Retail sale of telecommunications equipment,79.8
352,4/1/2009,WZ08-47-02,"Retail trade	 except motor trade and sale of fuel",90.6
353,4/1/2009,WZ08-471-04,"Retail trade	 except retail sale of fuels",90.7
354,4/1/2009,WZ08-477,Retail sale of other goods,93.9
355,4/1/2009,WZ08-47721,Retail sale of footwear,119
356,4/1/2009,WZ08-4781,"Retail sale via stalls	 markets of food	bev.	tob.",113.7
357,4/1/2009,WZ08-47622,"Retail sale of stationery	school a.office supplies",94.6
358,4/1/2009,WZ08-474,Retail sale of information a. communication equip.,85.5
359,4/1/2009,WZ08-4711-02,Retail sale of food,91.7
360,4/1/2009,WZ08-47781,Activities of opticians,88.8
361,4/1/2009,WZ08-47782,"Retail sale of photographic	 optical equip. etc.",114
362,4/1/2009,WZ08-47521,Retail sale of hardware and plastic products,99.6
363,4/1/2009,WZ08-4773-01,"Dispensing chemist	retail sale of medic. goods etc",82.5
364,4/1/2009,WZ08-471-01,Retail trade in-store,93.5
365,4/1/2009,WZ08-4751,Retail sale of textiles,89.1
366,4/1/2009,WZ08-4751-01,"Retail sale of textiles	 clothing and footwear",102.4
367,4/1/2009,WZ08-4774,Retail sale of medical and orthopaedic goods,72.7
368,4/1/2009,WZ08-4773,Dispensing chemist,82.5
